Carimbo de data/hora,TERMO DE CONSENTIMENTO LIVRE E ESCLARECIDO,Você trabalha e/ou estuda na área de tecnologia?,Quais são as suas áreas de atuação?,Quanto tempo de experiência profissional você possui na área de tecnologia?,Você utiliza ferramentas de IAs conversacionais e de geração de código profissionalmente?,Para quais propósitos você utiliza IAs conversacionais e de geração de código profissionalmente?,Há quanto tempo você começou a utilizar as seguintes ferramentas de IA? [ChatGPT],Há quanto tempo você começou a utilizar as seguintes ferramentas de IA? [Bing Chat],Há quanto tempo você começou a utilizar as seguintes ferramentas de IA? [GitHub Copilot],Há quanto tempo você começou a utilizar as seguintes ferramentas de IA? [Tabnine],"Caso tenha utilizado IAs que não foram citadas acima, informe-as abaixo e indique há quando tempo você começou a utilizá-las.",Qual a sua frequência média de uso das seguintes ferramentas de IA profissionalmente? [ChatGPT],Qual a sua frequência média de uso das seguintes ferramentas de IA profissionalmente? [Bing Chat],Qual a sua frequência média de uso das seguintes ferramentas de IA profissionalmente? [GitHub Copilot],Qual a sua frequência média de uso das seguintes ferramentas de IA profissionalmente? [Tabnine],"Caso tenha utilizado IAs que não foram citadas acima, informe-as abaixo e indique a frequência de uso.","Complete a seguinte frase de acordo com a sua percepção e experiência:

""O uso de ferramentas de IA afetou a minha produtividade profissional [...]"" [Resposta]","Complete a seguinte frase de acordo com a sua percepção e experiência:

""O uso de ferramentas de IA afetou a minha satisfação profissional [...]"" [Resposta]","Qual o seu sentimento com relação a modificações, em razão de IAs, nos cargos da área da tecnologia?",Qual o seu sentimento sobre complicações éticas e legais resultantes do uso de IAs de geração de código no mercado de trabalho?,Qual o seu sentimento sobre o futuro das ferramentas de IA conversacionais e de geração de código?
09/05/2023 19:56:09,Aceito participar,Sim,"Desenvolvimento de Software, Ensino e aprendizado (professor(a), monitor(a) ou estudante)",Menos que 2 anos,Sim,"Aprendizado de novos assuntos e tecnologias, Auxílio na escrita de código, Auxílio na escrita de testes automáticos, Debugging e investigação de problemas, Resolução de dúvidas",Menos de 1 ano,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Semanalmente,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Positivamente,Positivamente,"Parcialmente positivo - Alguns empregos podem deixar de existir, mas o mercado em geral se beneficiará com os novos cargos impulsionados por essas tecnologias.","Parcialmente negativo - Alguns problemas legais e morais do uso dessas tecnologias são prováveis, limitando a utilização desse tipo de IA, principalmente em grandes empresas.","Relativamente otimista - Ferramentas de IAs são promissoras, mas o nível de atenção e crédito que se dá a essas tecnologias atualmente não está alinhado com a realidade."
09/05/2023 20:59:25,Aceito participar,Sim,"Desenvolvimento de Software, Infraestrutura e DevOps, Ensino e aprendizado (professor(a), monitor(a) ou estudante)",Entre 2 e 4 anos,Sim,"Aprendizado de novos assuntos e tecnologias, Auxílio na escrita de código, Auxílio na escrita de testes automáticos, Auxílio na escrita de textos em linguagem natural, como documentação e descrições, Resolução de dúvidas",Menos de 1 ano,Nunca utilizei,Menos de 1 ano,Mais que 3 anos,,Semanalmente,Nunca utilizei,Diariamente,Raramente,,Muito positivamente,Positivamente,"Parcialmente positivo - Alguns empregos podem deixar de existir, mas o mercado em geral se beneficiará com os novos cargos impulsionados por essas tecnologias.","Parcialmente positivo - É possível que algumas complicações legais e éticas isoladas surjam pelo uso dessas tecnologias, mas a grande maioria do mercado não sofrerá esses problemas.","Relativamente otimista - Ferramentas de IAs são promissoras, mas o nível de atenção e crédito que se dá a essas tecnologias atualmente não está alinhado com a realidade."
09/05/2023 21:33:16,Aceito participar,Sim,"Ensino e aprendizado (professor(a), monitor(a) ou estudante)",Menos que 2 anos,Sim,"Aprendizado de novos assuntos e tecnologias, Auxílio na escrita de código, Debugging e investigação de problemas",Nunca utilizei,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Nunca utilizei,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Não afetou,Não afetou,"Parcialmente positivo - Alguns empregos podem deixar de existir, mas o mercado em geral se beneficiará com os novos cargos impulsionados por essas tecnologias.","Parcialmente positivo - É possível que algumas complicações legais e éticas isoladas surjam pelo uso dessas tecnologias, mas a grande maioria do mercado não sofrerá esses problemas.",Totalmente otimista - Ferramentas de IAs são bastante promissoras e auxiliarão cada vez mais as pessoas em mais atividades pessoais e profissionais.
09/05/2023 21:33:53,Aceito participar,Sim,"Desenvolvimento de Software, Inteligência Artificial, Ciência de Dados",Entre 2 e 4 anos,Sim,"Aprendizado de novos assuntos e tecnologias, Auxílio na escrita de código, Debugging e investigação de problemas, Resolução de dúvidas",Menos de 1 ano,Nunca utilizei,Entre 1 e 2 anos,Nunca utilizei,,Diariamente,Nunca utilizei,Diariamente,Nunca utilizei,,Muito positivamente,Positivamente,"Totalmente positivo - A utilização de IAs no mercado de trabalho será feita apenas de forma ferramental, haverá perda de emprego mínima e muitos novos cargos irão surgir no lugar.","Parcialmente positivo - É possível que algumas complicações legais e éticas isoladas surjam pelo uso dessas tecnologias, mas a grande maioria do mercado não sofrerá esses problemas.",Totalmente otimista - Ferramentas de IAs são bastante promissoras e auxiliarão cada vez mais as pessoas em mais atividades pessoais e profissionais.
09/05/2023 21:35:54,Aceito participar,Sim,"Ensino e aprendizado (professor(a), monitor(a) ou estudante)",Menos que 2 anos,Sim,"Aprendizado de novos assuntos e tecnologias, Debugging e investigação de problemas",Menos de 1 ano,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Semanalmente,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Positivamente,Positivamente,"Parcialmente negativo - Apesar do uso de ferramentas de IA terem seus pontos positivos no trabalho, a perda de empregos consequente do uso dessas tecnologias torna a prática indesejável.","Parcialmente positivo - É possível que algumas complicações legais e éticas isoladas surjam pelo uso dessas tecnologias, mas a grande maioria do mercado não sofrerá esses problemas.","Relativamente otimista - Ferramentas de IAs são promissoras, mas o nível de atenção e crédito que se dá a essas tecnologias atualmente não está alinhado com a realidade."
09/05/2023 21:37:21,Aceito participar,Sim,"Desenvolvimento de Software, Inteligência Artificial, Ciência de Dados, Ensino e aprendizado (professor(a), monitor(a) ou estudante)",Entre 2 e 4 anos,Sim,"Aprendizado de novos assuntos e tecnologias, Auxílio na escrita de código, Auxílio na escrita de testes automáticos, Auxílio na escrita de textos em linguagem natural, como documentação e descrições, Debugging e investigação de problemas, Resolução de dúvidas",Menos de 1 ano,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Diariamente,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Positivamente,Positivamente,Neutro - Não tenho opinião a respeito.,"Parcialmente negativo - Alguns problemas legais e morais do uso dessas tecnologias são prováveis, limitando a utilização desse tipo de IA, principalmente em grandes empresas.","Relativamente otimista - Ferramentas de IAs são promissoras, mas o nível de atenção e crédito que se dá a essas tecnologias atualmente não está alinhado com a realidade."
09/05/2023 21:46:16,Aceito participar,Sim,"Desenvolvimento de Software, Ensino e aprendizado (professor(a), monitor(a) ou estudante)",Entre 2 e 4 anos,Sim,"Aprendizado de novos assuntos e tecnologias, Auxílio na escrita de código, Auxílio na escrita de testes automáticos, Auxílio na escrita de textos em linguagem natural, como documentação e descrições, Resolução de dúvidas",Menos de 1 ano,Menos de 1 ano,Nunca utilizei,Nunca utilizei,,Diariamente,Semanalmente,Nunca utilizei,Nunca utilizei,,Positivamente,Positivamente,"Parcialmente positivo - Alguns empregos podem deixar de existir, mas o mercado em geral se beneficiará com os novos cargos impulsionados por essas tecnologias.",Neutro - Não tenho opinião a respeito.,"Relativamente otimista - Ferramentas de IAs são promissoras, mas o nível de atenção e crédito que se dá a essas tecnologias atualmente não está alinhado com a realidade."
09/05/2023 21:46:33,Aceito participar,Sim,"Inteligência Artificial, Ciência de Dados",Entre 2 e 4 anos,Sim,"Aprendizado de novos assuntos e tecnologias, Auxílio na escrita de código, Auxílio na escrita de textos em linguagem natural, como documentação e descrições, Debugging e investigação de problemas, Resolução de dúvidas",Menos de 1 ano,Nunca utilizei,Menos de 1 ano,Nunca utilizei,,Mensalmente,Nunca utilizei,Raramente,Nunca utilizei,,Positivamente,Positivamente,"Totalmente positivo - A utilização de IAs no mercado de trabalho será feita apenas de forma ferramental, haverá perda de emprego mínima e muitos novos cargos irão surgir no lugar.",Neutro - Não tenho opinião a respeito.,"Relativamente otimista - Ferramentas de IAs são promissoras, mas o nível de atenção e crédito que se dá a essas tecnologias atualmente não está alinhado com a realidade."
09/05/2023 21:50:11,Aceito participar,Sim,"Desenvolvimento de Software, Infraestrutura e DevOps",Menos que 2 anos,Sim,"Aprendizado de novos assuntos e tecnologias, Auxílio na escrita de código, Auxílio na escrita de textos em linguagem natural, como documentação e descrições",Menos de 1 ano,Nunca utilizei,Menos de 1 ano,Nunca utilizei,,Raramente,Nunca utilizei,Diariamente,Nunca utilizei,,Positivamente,Positivamente,"Parcialmente negativo - Apesar do uso de ferramentas de IA terem seus pontos positivos no trabalho, a perda de empregos consequente do uso dessas tecnologias torna a prática indesejável.","Parcialmente negativo - Alguns problemas legais e morais do uso dessas tecnologias são prováveis, limitando a utilização desse tipo de IA, principalmente em grandes empresas.",Totalmente otimista - Ferramentas de IAs são bastante promissoras e auxiliarão cada vez mais as pessoas em mais atividades pessoais e profissionais.
09/05/2023 21:50:21,Aceito participar,Sim,"Desenvolvimento de Software, Infraestrutura e DevOps",Menos que 2 anos,Sim,"Auxílio na escrita de código, Auxílio na escrita de textos em linguagem natural, como documentação e descrições, Resolução de dúvidas",Menos de 1 ano,Menos de 1 ano,Menos de 1 ano,Nunca utilizei,,Diariamente,Raramente,Semanalmente,Nunca utilizei,,Positivamente,Positivamente,"Parcialmente positivo - Alguns empregos podem deixar de existir, mas o mercado em geral se beneficiará com os novos cargos impulsionados por essas tecnologias.","Parcialmente negativo - Alguns problemas legais e morais do uso dessas tecnologias são prováveis, limitando a utilização desse tipo de IA, principalmente em grandes empresas.","Relativamente otimista - Ferramentas de IAs são promissoras, mas o nível de atenção e crédito que se dá a essas tecnologias atualmente não está alinhado com a realidade."
